customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier,avg_days_between_purchases,purchase_consistency,days_since_first_purchase,purchase_span_days,unique_products_bought,unique_categories_bought,preferred_category,category_concentration,product_diversity_level,transaction_value_std,min_transaction_value,max_transaction_value,total_spending,transaction_count,spending_volatility,spending_trend,trend_direction,engagement_score,loyalty_indicator,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
5500,,40068000.0,8,5008500.0,719,2,4,3,243,3.1,Need Attention,5008500.0,52.7,68.61,18.12,Gold,,,,,4,,,,Medium,10176807.736922503,198000.0,29900000.0,40068000.0,8,2.032,-0.752,Declining,37.94,Medium,,,,,,,,,,,,,,,,,,,
5501,,644442000.0,23,28019217.391304348,719,2,5,5,255,4.25,Need Attention,28019217.39,89.43,87.71,18.12,Platinum,,,,,21,,,,High,72299601.65548287,0.0,319200000.0,644442000.0,23,2.58,2.985,Growing,63.47,Medium,,,,,,,,,,,,,,,,,,,
5502,2024-12-09,17170515.35700901,13,1320808.8736160775,22,3,4,3,343,3.35,Loyal Customers,1320808.87,40.17,79.36,54.73,Silver,,0.0,,,9,,,,Medium,922782.4317107124,132777.2111711712,3537837.84,17170515.35700901,13,0.699,0.169,Growing,39.58,Medium,Monday,0.0,0.0,0.0,0.0,0.0,7.0,1.732,4.0,2024-12-06,7.0,370.0,367.0,3.0,0.568,Veteran,0.5,366.5,Churned
5503,2025-04-12,319101100.0,25,12764044.0,-102,4,5,5,455,4.75,Champions,12764044.0,84.15,88.76,65.42,Platinum,,0.0,243.0,,21,,,,High,16953287.005034354,587000.0,67000000.0,319101100.0,25,1.328,0.025,Stable,61.36,Medium,Tuesday,0.04,0.013,2.0,1.0,4.0,3.0,0.447,3.0,2024-03-12,10.0,639.0,243.0,396.0,0.469,Veteran,44.0,199.0,Churned
5550,2024-03-07,188118500.0,17,11065794.11764706,299,3,5,4,354,4.1,Loyal Customers,11065794.12,77.89,83.42,41.03,Platinum,,1.0,,,9,,,,Medium,12192670.2998395,652000.0,49600000.0,188118500.0,17,1.102,0.463,Growing,84.67,High,Thursday,0.0,0.0,2.0,0.0,0.0,0.0,1.732,1.0,2024-03-07,2.0,644.0,644.0,0.0,0.093,Veteran,0.0,644.0,Churned
5551,,1258928571.4885714,18,69940476.19380952,719,2,5,5,255,4.25,Need Attention,69940476.19,93.61,84.52,18.12,Platinum,,,,,13,,,,High,66629853.45208543,0.0,214468308.0,1258928571.4885714,18,0.953,-0.475,Declining,63.41,Medium,,,,,,,,,,,,,,,,,,,
5552,,2642000.0,3,880666.6666666666,719,2,2,1,221,1.6,About To Sleep,880666.67,12.41,41.77,18.12,Bronze,,,,,3,,,,Low,973178.4694152112,235000.0,2000000.0,2642000.0,3,1.105,-0.84,Declining,19.04,Medium,,,,,,,,,,,,,,,,,,,
5553,2025-04-02,152001965.17000002,12,12666830.430833334,-92,4,4,4,444,4.0,Champions,12666830.43,75.55,78.13,62.59,Platinum,,0.095,551.0,,8,,,,Medium,11031615.815163927,1900000.0,30405405.78,152001965.17000002,12,0.871,0.447,Growing,55.63,Medium,Wednesday,0.167,0.17,0.0,3.0,0.0,2.0,1.039,2.0,2024-06-08,5.0,551.0,253.0,298.0,0.272,Veteran,74.5,178.5,Churned
5554,2025-06-05,1622242526.0,44,36869148.31818182,-156,4,5,5,455,4.75,Champions,36869148.32,94.96,92.87,70.21,Platinum,,0.0,,,26,,,,High,50829910.754733026,850000.0,265386466.0,1622242526.0,44,1.379,-0.402,Declining,66.22,Medium,Tuesday,0.0,0.0,0.0,17.0,0.0,0.0,1.732,2.0,2025-06-03,17.0,191.0,189.0,2.0,2.67,Mature,0.125,188.875,Churned
5555,,78810000.0,8,9851250.0,719,2,4,4,244,3.5,Need Attention,9851250.0,65.11,68.61,18.12,Gold,,,,,6,,,,Medium,4673993.207098188,4780000.0,17210000.0,78810000.0,8,0.474,-0.075,Stable,46.66,Medium,,,,,,,,,,,,,,,,,,,
